word,rarity,pos,Definition,Sentence
aah,4,noun,"Expression of amazement, surprise, enthusiasm, or fear.",
abs,3,noun,The abdominal muscles at the front of the body.,These exercises strengthen your abs.
ace,2,noun,"A playing card showing a single pip, typically the highest or lowest ranking card in a game.",
act,1,noun,"Something done, a deed.",
add,1,verb,"To join or unite (e.g. one thing to another, or as several particulars) so as to increase the number, augment the quantity, or enlarge the magnitude, or so as to form into one aggregate.",
ado,3,noun,"trouble; troublesome business; fuss, commotion",
aft,3,noun,The rear part (after end) of a ship or other vessel.,
age,1,noun,"The amount of time that some being has been alive, or that some thing has been in existence, as measured from its birth or origin until the present or until some other given reference point. (Often measured in number of years; alternatively in months, days, hours, etc.; see also the usage notes)",We both have kids under age four.
ago,1,postp,"Before now, before the present time",I got married ten years ago.
aha,2,intj,An exclamation expressing sudden understanding or discovery.,
aid,2,noun,"Help; assistance; succor, relief.",He came to my aid when I was foundering.
ail,4,verb,"To cause to suffer; to trouble, afflict. (Now chiefly in interrogative or indefinite constructions.)",
aim,2,noun,"The pointing of a weapon, as a gun, a dart, or an arrow, or object, in the line of direction with the object intended to be struck; the line of fire; the direction of anything, such as a spear, a blow, a discourse, a remark, towards a particular point or object, with a view to strike or affect it.",Take time with the aim of your gun.
air,1,noun,"The substance constituting Earth's atmosphere: a gaseous mixture of nitrogen, oxygen, and various trace gases.",This drill runs on compressed air.
alb,4,noun,"A long, white robe worn by priests and other ministers, underneath most of the other vestments.",The priest prepared to put on his alb.
ale,3,noun,A beer made without hops.,
all,1,pron,Everything.,Some gave all they had.
alp,3,noun,"A very high mountain. Specifically, one of the Alps, the highest chain of mountains in Europe.",Nor breath of Vernal Air from snowy Alp.
amp,3,verb,To amplify.,He asked the disk jockey to amp it up.
and,1,conj,"As a coordinating conjunction; expressing two elements to be taken together or in addition to each other. Used simply to connect two noun phrases, adjectives or adverbs.",Soup and crackers go good together.
ant,3,noun,"Any of various insects in the family Formicidae in the order Hymenoptera, typically living in large colonies composed almost entirely of flightless females.",An ant lives within a colony of ants.
any,1,adv,"To even the slightest extent, at all.","If you get any taller, you'll start having to duck through doorways!"
ape,3,noun,"A primate of the superfamily Hominoidea, generally larger than monkeys and distinguished from them by having no tail.",An ape has very strong arms.
app,4,noun,"A computer program, especially one designed for a phone or tablet.",I use an app to check the weather.
apt,3,adj,Suitable; appropriate; fit or fitted; suited.,
arc,2,noun,That part of a circle which a heavenly body appears to pass through as it moves above and below the horizon.,
are,1,verb,"second-person singular simple present of be. Meaning: To exist, or to have a particular state or identity.","Mary, where are you going?"
ark,3,noun,A large box with a flat lid.,
arm,2,noun,"The portion of the upper human appendage, from the shoulder to the wrist and sometimes including the hand.",She stood with her right arm extended and her palm forward to indicate “Stop!”
art,1,noun,"The conscious production or arrangement of sounds, colours, forms, movements, or other elements in a manner that affects the senses and emotions, usually specifically the production of the beautiful in a graphic or plastic medium.",There is a debate as to whether graffiti is art or vandalism.
ash,2,noun,Solid remains of a fire.,The audience was more captivated by the growing ash at the end of his cigarette than by his words.
ask,1,verb,"To request or petition. To request (information, or an answer to a question).",
asp,3,noun,A venomous viper native to southwestern Europe (Vipera aspis).,
