word,lemma,esdb_pos
abased,abase,vd
abases,abase,vs
abashed,abash,vd
abashes,abash,vs
abasing,abase,vg
abated,abate,vd
abates,abate,vs
abating,abate,vg
abbes,abbe,ns
abbeys,abbey,ns
abbots,abbot,ns
abducts,abduct,vs
abets,abet,vs
abetted,abet,vd
abhors,abhor,vs
abides,abide,vs
abiding,abide,vg
abjured,abjure,vd
abjures,abjure,vs
ablated,ablate,vd
ablates,ablate,vs
abler,able,aj1
ablest,able,aj2
abode,abide,vd
abodes,abode,ns
aborted,abort,vd
aborts,abort,vs
abounds,abound,vs
abraded,abrade,vd
abrades,abrade,vs
abseils,abseil,ms
absents,absent,vs
absorbs,absorb,vs
abused,abuse,vd
abusers,abuser,ns
abuses,abuse,ms
abusing,abuse,vg
abuts,abut,vs
abutted,abut,vd
abysses,abyss,ns
acacias,acacia,ns
acceded,accede,vd
accedes,accede,vs
accents,accent,ms
accepts,accept,vs
accords,accord,ms
accosts,accost,ms
accrued,accrue,vd
accrues,accrue,vs
accused,accuse,vd
accuses,accuse,vs
aced,ace,vd
aces,ace,ms
ached,ache,vd
achenes,achene,ns
aches,ache,ms
achier,achy,aj1
achiest,achy,aj2
aching,ache,vg
acids,acid,ns
acing,ace,vg
acmes,acme,ns
acorns,acorn,ns
acquits,acquit,vs
acres,acre,ns
acrider,acrid,aj1
acted,act,vd
acting,act,vg
actions,action,ns
actives,active,ns
actors,actor,ns
acts,act,ms
acuter,acute,aj1
acutes,acute,ns
acutest,acute,aj2
adages,adage,ns
adagios,adagio,ns
adapted,adapt,vd
adapts,adapt,vs
added,add,vd
addenda,addendum,ns
addends,addend,ns
adders,adder,ns
addicts,addict,ms
adding,add,vg
addled,addle,vd
addles,addle,vs
addling,addle,vg
adds,add,vs
adduced,adduce,vd
adduces,adduce,vs
adepts,adept,ns
adhered,adhere,vd
adheres,adhere,vs
adieus,adieu,ns
adjoins,adjoin,vs
adjured,adjure,vd
adjures,adjure,vs
adjusts,adjust,vs
admen,adman,ns
admired,admire,vd
admires,admire,vs
admits,admit,vs
admixed,admix,vd
admixes,admix,vs
adobes,adobe,ns
adopted,adopt,vd
adopts,adopt,vs
adored,adore,vd
adorers,adorer,ns
adores,adore,vs
adoring,adore,vg
adorned,adorn,vd
adorns,adorn,vs
ads,ad,ns
adsorbs,adsorb,vs
adults,adult,ns
advents,advent,ns
adverbs,adverb,ns
adverts,advert,ns
adverts,advert,vs
advised,advise,vd
advises,advise,vs
adzes,adze,ns
aerated,aerate,vd
aerates,aerate,vs
aerials,aerial,ns
aeries,aerie,ns
affairs,affair,ns
affects,affect,ms
affirms,affirm,vs
affixed,affix,vd
affixes,affix,ms
affords,afford,vs
affrays,affray,ns
afghans,afghan,ns
afters,after,ns
agates,agate,ns
aged,age,vd
ageists,ageist,ns
agendas,agenda,ns
agents,agent,ns
ages,age,ms
aging,age,vg
agings,aging,ns
agonies,agony,ns
agreed,agree,vd
agrees,agree,vs
aided,aid,vd
aides,aide,ns
aiding,aid,vg
aids,aid,ms
ailed,ail,vd
ailing,ail,vg
ails,ail,vs
aimed,aim,vd
aiming,aim,vg
aims,aim,ms
airbags,airbag,ns
airbeds,airbed,ns
aired,air,vd
airguns,airgun,ns
airier,airy,aj1
airiest,airy,aj2
airing,air,vg
airings,airing,ns
airmen,airman,ns
airs,air,ms
airways,airway,ns
aisles,aisle,ns
aitches,aitch,ns
alarmed,alarm,vd
alarms,alarm,ms
albinos,albino,ns
albs,alb,ns
albums,album,ns
alcoves,alcove,ns
alders,alder,ns
alerted,alert,vd
alerts,alert,ms
ales,ale,ns
algae,alga,ns
aliased,alias,vd
aliases,alias,ms
alibied,alibi,vd
alibis,alibi,ms
aliens,alien,ns
alights,alight,vs
aligned,align,vd
aligns,align,vs
aliyahs,aliyah,ns
alkyds,alkyd,ns
allayed,allay,vd
allays,allay,vs
alleged,allege,vd
alleges,allege,vs
alleles,allele,ns
alleys,alley,ns
allied,ally,vd
allies,ally,ms
allots,allot,vs
allowed,allow,vd
allows,allow,vs
alloyed,alloy,vd
alloys,alloy,ms
alluded,allude,vd
alludes,allude,vs
allured,allure,vd
allures,allure,vs
allying,ally,vg
almonds,almond,ns
aloes,aloe,ns
alohas,aloha,ns
alpacas,alpaca,ns
alphas,alpha,ns
alpines,alpine,ns
alps,alp,ns
altars,altar,ns
altered,alter,vd
alters,alter,vs
altos,alto,ns
alumnae,alumna,ns
alumni,alumnus,ns
alums,alum,ns
amassed,amass,vd
amasses,amass,vs
amazed,amaze,vd
amazes,amaze,ms
amazing,amaze,vg
amazons,amazon,ns
ambled,amble,vd
amblers,ambler,ns
ambles,amble,ms
ambling,amble,vg
amended,amend,vd
amends,amend,vs
amerced,amerce,vd
amerces,amerce,vs
amides,amide,ns
amigos,amigo,ns
amines,amine,ns
amnions,amnion,ns
amoebas,amoeba,ns
amounts,amount,ms
amours,amour,ns
amperes,ampere,ns
ampler,ample,aj1
amplest,ample,aj2
amps,amp,ns
ampules,ampule,ns
amulets,amulet,ns
amused,amuse,vd
amuses,amuse,vs
amusing,amuse,vg
analogs,analog,ns
anchors,anchor,ms
angels,angel,ns
angered,anger,vd
angers,anger,vs
angled,angle,vd
anglers,angler,ns
angles,angle,ms
angling,angle,vg
angoras,angora,ns
angrier,angry,aj1
animals,animal,ns
anions,anion,ns
ankhs,ankh,ns
ankles,ankle,ns
anklets,anklet,ns
anneals,anneal,vs
annexed,annex,vd
annexes,annex,ns
annexes,annex,vs
annoyed,annoy,vd
annoys,annoy,vs
annuals,annual,ns
annuli,annulus,ns
annuls,annul,vs
anodes,anode,ns
anoints,anoint,vs
anoraks,anorak,ns
answers,answer,ms
anted,ante,vd
anteing,ante,vg
antes,ante,ns
antes,ante,vs
anthems,anthem,ns
anthers,anther,ns
antics,antic,ns
antis,anti,ns
antlers,antler,ns
ants,ant,ns
antsier,antsy,aj1
anuses,anus,ns
anvils,anvil,ns
aortas,aorta,ns
aped,ape,vd
apes,ape,ms
apexes,apex,ns
aphelia,aphelion,ns
aphids,aphid,ns
aping,ape,vg
apneas,apnea,ns
apogees,apogee,ns
appalls,appall,vs
appeals,appeal,ms
appears,appear,vs
appends,append,vs
apples,apple,ns
applets,applet,ns
applied,apply,vd
applies,apply,vs
apposed,appose,vd
apposes,appose,vs
apps,app,ns
aprons,apron,ns
apses,apse,ns
apter,apt,aj1
aptest,apt,aj2
aquas,aqua,ns
arbors,arbor,ns
arcades,arcade,ns
arced,arc,vd
arched,arch,vd
archer,arch,aj1
archers,archer,ns
arches,arch,ms
arching,arch,vg
arcing,arc,vg
arcs,arc,ms
arctics,arctic,ns
ardors,ardor,ns
are,be,vs2
are,be,vss
areas,area,ns
arenas,arena,ns
ares,are,ns
argots,argot,ns
argued,argue,vd
arguers,arguer,ns
argues,argue,vs
arguing,argue,vg
argyles,argyle,ns
arias,aria,ns
arisen,arise,vn
arises,arise,vs
arising,arise,vg
arks,ark,ns
armadas,armada,ns
armed,arm,vd
armfuls,armful,ns
armies,army,ns
arming,arm,vg
armlets,armlet,ns
armored,armor,vd
armors,armor,vs
armpits,armpit,ns
arms,arm,ms
aromas,aroma,ns
arose,arise,vd
aroused,arouse,vd
arouses,arouse,vs
arrases,arras,ns
arrayed,array,vd
arrays,array,ms
arrests,arrest,ms
arrived,arrive,vd
arrives,arrive,vs
arrows,arrow,ns
arroyos,arroyo,ns
artier,arty,aj1
artiest,arty,aj2
artists,artist,ns
arts,art,ns
artsier,artsy,aj1
arums,arum,ns
asanas,asana,ns
ascends,ascend,vs
ascents,ascent,ns
ascots,ascot,ns
ashcans,ashcan,ns
ashes,ash,ns
ashier,ashy,aj1
ashiest,ashy,aj2
ashlars,ashlar,ns
ashrams,ashram,ns
asides,aside,ns
asked,ask,vd
asking,ask,vg
asks,ask,vs
aspects,aspect,ns
aspens,aspen,ns
aspics,aspic,ns
aspired,aspire,vd
aspires,aspire,vs
asps,asp,ns
assails,assail,vs
assayed,assay,vd
assays,assay,ms
assents,assent,ms
asserts,assert,vs
asses,ass,ns
assets,asset,ns
assigns,assign,ms
assists,assist,ms
assizes,assize,ns
assorts,assort,vs
assumed,assume,vd
assumes,assume,vs
assured,assure,vd
