word,rarity,reason
grá,4,outside-ascii-letter-wheel
H5N1,4,outside-ascii-letter-wheel
i18n,4,outside-ascii-letter-wheel
I18N,4,outside-ascii-letter-wheel
IC50,4,outside-ascii-letter-wheel
ipé,4,outside-ascii-letter-wheel
L10n,4,outside-ascii-letter-wheel
l33t,4,outside-ascii-letter-wheel
LD50,4,outside-ascii-letter-wheel
n00b,4,outside-ascii-letter-wheel
pr0n,4,outside-ascii-letter-wheel
raï,4,outside-ascii-letter-wheel
café,4,outside-ascii-letter-wheel
CO₂,4,outside-ascii-letter-wheel
fête,4,outside-ascii-letter-wheel
h4x0r,4,outside-ascii-letter-wheel
ID10T,4,outside-ascii-letter-wheel
juré,4,outside-ascii-letter-wheel
père,4,outside-ascii-letter-wheel
phở,4,outside-ascii-letter-wheel
rôle,4,outside-ascii-letter-wheel
veg*n,4,outside-ascii-letter-wheel
animé,4,outside-ascii-letter-wheel
après,4,outside-ascii-letter-wheel
béret,4,outside-ascii-letter-wheel
blasé,4,outside-ascii-letter-wheel
cañon,4,outside-ascii-letter-wheel
caffè,4,outside-ascii-letter-wheel
coöpt,4,outside-ascii-letter-wheel
crème,4,outside-ascii-letter-wheel
crêpe,4,outside-ascii-letter-wheel
dæmon,4,outside-ascii-letter-wheel
métro,4,outside-ascii-letter-wheel
Māori,4,outside-ascii-letter-wheel
massé,4,outside-ascii-letter-wheel
moiré,4,outside-ascii-letter-wheel
névé,4,outside-ascii-letter-wheel
naïve,4,outside-ascii-letter-wheel
pâté,4,outside-ascii-letter-wheel
passé,4,outside-ascii-letter-wheel
pietà,4,outside-ascii-letter-wheel
tantō,4,outside-ascii-letter-wheel
Achæan,4,outside-ascii-letter-wheel
chassé,4,outside-ascii-letter-wheel
cliché,4,outside-ascii-letter-wheel
crèche,4,outside-ascii-letter-wheel
donnée,4,outside-ascii-letter-wheel
dragée,4,outside-ascii-letter-wheel
entrée,4,outside-ascii-letter-wheel
exposé,4,outside-ascii-letter-wheel
fáinne,4,outside-ascii-letter-wheel
Führer,4,outside-ascii-letter-wheel
façade,4,outside-ascii-letter-wheel
fiancé,4,outside-ascii-letter-wheel
flèche,4,outside-ascii-letter-wheel
frappé,4,outside-ascii-letter-wheel
gâteau,4,outside-ascii-letter-wheel
ménage,4,outside-ascii-letter-wheel
mañana,4,outside-ascii-letter-wheel
mêlée,4,outside-ascii-letter-wheel
oöidal,4,outside-ascii-letter-wheel
oölogy,4,outside-ascii-letter-wheel
omertà,4,outside-ascii-letter-wheel
piñata,4,outside-ascii-letter-wheel
prætor,4,outside-ascii-letter-wheel
précis,4,outside-ascii-letter-wheel
régime,4,outside-ascii-letter-wheel
rōmaji,4,outside-ascii-letter-wheel
resumé,4,outside-ascii-letter-wheel
rincón,4,outside-ascii-letter-wheel
risqué,4,outside-ascii-letter-wheel
tædium,4,outside-ascii-letter-wheel
vacuüm,4,outside-ascii-letter-wheel
