word,rarity,reason
aahed,4,larger-level-not-approved
aahing,4,larger-level-not-approved
aahs,4,larger-level-not-approved
aal,4,outside-filtered-American-60-80
aam,4,outside-filtered-American-60-80
aarti,4,outside-filtered-American-60-80
aba,3,larger-level-not-approved
abac,4,outside-filtered-American-60-80
abaca,4,larger-level-not-approved
abacate,4,outside-filtered-American-60-80
abacaxi,4,outside-filtered-American-60-80
abaci,4,outside-filtered-American-60-80
abacist,4,outside-filtered-American-60-80
abactor,4,outside-filtered-American-60-80
abada,4,outside-filtered-American-60-80
abagun,4,outside-filtered-American-60-80
abaiser,4,outside-filtered-American-60-80
aband,4,outside-filtered-American-60-80
abaque,4,outside-filtered-American-60-80
abas,4,larger-level-not-approved
abaser,4,larger-level-not-approved
abasia,4,larger-level-not-approved
abask,4,outside-filtered-American-60-80
abatage,4,outside-filtered-American-60-80
abatee,4,outside-filtered-American-60-80
abatees,4,outside-filtered-American-60-80
abater,4,larger-level-not-approved
abaters,4,larger-level-not-approved
abatis,4,larger-level-not-approved
abator,4,larger-level-not-approved
abattis,4,larger-level-not-approved
abature,4,outside-filtered-American-60-80
abaxial,4,larger-level-not-approved
abaxile,4,outside-filtered-American-60-80
abay,4,outside-filtered-American-60-80
abb,3,larger-level-not-approved
abba,3,larger-level-not-approved
abbacy,4,larger-level-not-approved
abbas,3,larger-level-not-approved
abbotcy,4,larger-level-not-approved
abbozzo,4,outside-filtered-American-60-80
abdal,4,outside-filtered-American-60-80
abdest,4,outside-filtered-American-60-80
abdo,4,outside-filtered-American-60-80
abduce,4,larger-level-not-approved
abe,3,outside-filtered-American-60-80
abear,4,outside-filtered-American-60-80
abegge,4,outside-filtered-American-60-80
abele,4,larger-level-not-approved
abelian,4,larger-level-not-approved
abend,4,outside-filtered-American-60-80
aberr,4,outside-filtered-American-60-80
abettal,4,larger-level-not-approved
abettee,4,outside-filtered-American-60-80
abetter,4,outside-filtered-American-60-80
abeyant,4,larger-level-not-approved
abhal,4,outside-filtered-American-60-80
abided,4,outside-filtered-American-60-80
abider,4,larger-level-not-approved
abiders,4,larger-level-not-approved
abies,4,outside-filtered-American-60-80
abietic,4,outside-filtered-American-60-80
abietin,4,outside-filtered-American-60-80
abigail,3,larger-level-not-approved
abigeat,4,outside-filtered-American-60-80
abiyuch,4,outside-filtered-American-60-80
abjudge,4,outside-filtered-American-60-80
abjuror,4,outside-filtered-American-60-80
ablator,4,larger-level-not-approved
ablaut,4,larger-level-not-approved
ablen,4,outside-filtered-American-60-80
ablepsy,4,outside-filtered-American-60-80
ablet,4,outside-filtered-American-60-80
ablude,4,outside-filtered-American-60-80
abluent,4,larger-level-not-approved
ablush,4,outside-filtered-American-60-80
abnet,4,outside-filtered-American-60-80
abo,4,larger-level-not-approved
aboding,4,outside-filtered-American-60-80
abogado,4,outside-filtered-American-60-80
abolla,4,outside-filtered-American-60-80
aboma,4,outside-filtered-American-60-80
aboon,4,outside-filtered-American-60-80
aboral,4,larger-level-not-approved
abord,4,outside-filtered-American-60-80
aborn,4,outside-filtered-American-60-80
abortus,4,larger-level-not-approved
abought,4,larger-level-not-approved
abox,4,outside-filtered-American-60-80
abra,4,outside-filtered-American-60-80
abraid,4,outside-filtered-American-60-80
abram,3,outside-filtered-American-60-80
abrase,4,outside-filtered-American-60-80
abraum,4,outside-filtered-American-60-80
abraxas,4,larger-level-not-approved
abroach,4,larger-level-not-approved
abrood,4,outside-filtered-American-60-80
abrook,4,outside-filtered-American-60-80
abscind,4,larger-level-not-approved
absciss,4,outside-filtered-American-60-80
absinth,4,outside-filtered-American-60-80
absis,4,outside-filtered-American-60-80
absist,4,outside-filtered-American-60-80
absolue,4,outside-filtered-American-60-80
absorpt,4,outside-filtered-American-60-80
absume,4,outside-filtered-American-60-80
absurda,4,outside-filtered-American-60-80
abuela,4,outside-filtered-American-60-80
abuelo,4,outside-filtered-American-60-80
abugida,4,outside-filtered-American-60-80
abuna,4,outside-filtered-American-60-80
aburst,4,outside-filtered-American-60-80
abusage,4,larger-level-not-approved
abusion,4,outside-filtered-American-60-80
abuttal,4,larger-level-not-approved
abutter,4,larger-level-not-approved
aby,4,larger-level-not-approved
abye,4,larger-level-not-approved
abysm,4,larger-level-not-approved
acacin,4,outside-filtered-American-60-80
acacine,4,outside-filtered-American-60-80
acajou,4,larger-level-not-approved
acaleph,4,larger-level-not-approved
acanth,4,outside-filtered-American-60-80
acantha,4,larger-level-not-approved
acapnia,4,larger-level-not-approved
acar,4,outside-filtered-American-60-80
acara,4,outside-filtered-American-60-80
acarine,4,outside-filtered-American-60-80
acaroid,4,larger-level-not-approved
acarus,4,larger-level-not-approved
acater,4,outside-filtered-American-60-80
acates,4,outside-filtered-American-60-80
acca,4,outside-filtered-American-60-80
acceder,4,larger-level-not-approved
accend,4,outside-filtered-American-60-80
accidie,4,larger-level-not-approved
accite,4,outside-filtered-American-60-80
acclive,4,outside-filtered-American-60-80
accloy,4,outside-filtered-American-60-80
accompt,4,outside-filtered-American-60-80
accourt,4,outside-filtered-American-60-80
accoy,4,outside-filtered-American-60-80
accrete,4,larger-level-not-approved
accruer,4,outside-filtered-American-60-80
accumb,4,outside-filtered-American-60-80
accurse,4,outside-filtered-American-60-80
accurst,4,outside-filtered-American-60-80
accusal,4,larger-level-not-approved
acephal,4,outside-filtered-American-60-80
acer,3,larger-level-not-approved
acerate,4,larger-level-not-approved
acerb,4,larger-level-not-approved
aceric,4,outside-filtered-American-60-80
acerose,4,larger-level-not-approved
acerous,4,outside-filtered-American-60-80
acerval,4,outside-filtered-American-60-80
acetal,4,larger-level-not-approved
acetary,4,outside-filtered-American-60-80
acetify,4,larger-level-not-approved
acetin,4,larger-level-not-approved
acetize,4,outside-filtered-American-60-80
acetose,4,larger-level-not-approved
acetous,4,larger-level-not-approved
acetum,4,larger-level-not-approved
ach,4,larger-level-not-approved
achate,4,outside-filtered-American-60-80
achee,4,outside-filtered-American-60-80
acheful,4,outside-filtered-American-60-80
achi,4,outside-filtered-American-60-80
achiote,4,larger-level-not-approved
acholia,4,larger-level-not-approved
acicula,4,larger-level-not-approved
aciform,4,larger-level-not-approved
acinose,4,larger-level-not-approved
acinous,4,larger-level-not-approved
acinus,4,larger-level-not-approved
aciurgy,4,outside-filtered-American-60-80
ackee,4,larger-level-not-approved
acknow,4,outside-filtered-American-60-80
aclinic,4,outside-filtered-American-60-80
acnodal,4,outside-filtered-American-60-80
acnode,4,larger-level-not-approved
acock,4,larger-level-not-approved
acold,4,larger-level-not-approved
acology,4,outside-filtered-American-60-80
acontia,4,outside-filtered-American-60-80
acopic,4,outside-filtered-American-60-80
acorned,4,larger-level-not-approved
acouchy,4,larger-level-not-approved
acquest,4,outside-filtered-American-60-80
acquiet,4,outside-filtered-American-60-80
acquiry,4,outside-filtered-American-60-80
acquis,4,outside-filtered-American-60-80
acred,4,larger-level-not-approved
acrogen,4,larger-level-not-approved
actinic,4,larger-level-not-approved
actio,4,outside-filtered-American-60-80
actless,4,outside-filtered-American-60-80
acton,3,outside-filtered-American-60-80
actrice,4,outside-filtered-American-60-80
actrix,4,outside-filtered-American-60-80
acture,4,outside-filtered-American-60-80
acuate,4,larger-level-not-approved
aculeus,4,larger-level-not-approved
acushla,4,outside-filtered-American-60-80
adagial,4,larger-level-not-approved
adam,2,outside-filtered-American-60-80
adamite,4,outside-filtered-American-60-80
adance,4,outside-filtered-American-60-80
adangle,4,outside-filtered-American-60-80
adaptor,4,outside-filtered-American-60-80
adat,4,outside-filtered-American-60-80
adaxial,4,larger-level-not-approved
addax,4,larger-level-not-approved
addeem,4,outside-filtered-American-60-80
addice,4,outside-filtered-American-60-80
addon,4,outside-filtered-American-60-80
addoom,4,outside-filtered-American-60-80
adducer,4,larger-level-not-approved
adduct,4,larger-level-not-approved
addulce,4,outside-filtered-American-60-80
adeem,4,outside-filtered-American-60-80
adeling,4,outside-filtered-American-60-80
adempt,4,outside-filtered-American-60-80
adenose,4,outside-filtered-American-60-80
adenous,4,outside-filtered-American-60-80
adeps,4,outside-filtered-American-60-80
adhan,4,outside-filtered-American-60-80
adipic,4,outside-filtered-American-60-80
aditus,4,outside-filtered-American-60-80
adnate,4,larger-level-not-approved
ados,4,larger-level-not-approved
adown,4,larger-level-not-approved
aeon,4,outside-filtered-American-60-80
aeons,4,outside-filtered-American-60-80
aero,3,larger-level-not-approved
aerose,4,outside-filtered-American-60-80
aes,4,outside-filtered-American-60-80
aether,4,larger-level-not-approved
afeared,4,larger-level-not-approved
affiant,4,larger-level-not-approved
affinal,4,larger-level-not-approved
affines,4,larger-level-not-approved
afghani,4,larger-level-not-approved
aflare,4,outside-filtered-American-60-80
afore,4,larger-level-not-approved
afro,4,outside-filtered-American-60-80
agama,4,larger-level-not-approved
agarose,4,larger-level-not-approved
agbe,4,outside-filtered-American-60-80
agelast,4,outside-filtered-American-60-80
agelong,4,larger-level-not-approved
agen,4,outside-filtered-American-60-80
agendum,4,larger-level-not-approved
ager,4,larger-level-not-approved
agger,4,larger-level-not-approved
aggie,3,larger-level-not-approved
aggrace,4,outside-filtered-American-60-80
aggrade,4,larger-level-not-approved
aggrege,4,outside-filtered-American-60-80
aggress,4,larger-level-not-approved
aggroup,4,outside-filtered-American-60-80
agio,4,larger-level-not-approved
agist,4,larger-level-not-approved
agistor,4,outside-filtered-American-60-80
agita,4,larger-level-not-approved
agitato,4,larger-level-not-approved
aglet,4,larger-level-not-approved
agnail,4,larger-level-not-approved
agnate,4,larger-level-not-approved
agnomen,4,larger-level-not-approved
