word,rarity,avg_sub_len,count_ge3,count_ge4,count_ge5,easy_valid_count,medium_valid_count,hard_valid_count
act,1,0,0,0,0,0,0,0
add,1,0,0,0,0,0,0,0
age,1,0,0,0,0,0,0,0
ago,1,0,0,0,0,0,0,0
air,1,0,0,0,0,0,0,0
all,1,0,0,0,0,0,0,0
and,1,0,0,0,0,0,0,0
any,1,0,0,0,0,0,0,0
are,1,0,0,0,0,0,0,0
art,1,0,0,0,0,0,0,0
ask,1,0,0,0,0,0,0,0
ass,1,0,0,0,0,0,0,0
bad,1,0,0,0,0,0,0,0
bam,1,0,0,0,0,0,0,0
bed,1,0,0,0,0,0,0,0
big,1,0,0,0,0,0,0,0
bit,1,0,0,0,0,0,0,0
box,1,0,0,0,0,0,0,0
boy,1,0,0,0,0,0,0,0
but,1,0,0,0,0,0,0,0
buy,1,0,0,0,0,0,0,0
can,1,0,0,0,0,0,0,0
car,1,0,0,0,0,0,0,0
cup,1,0,0,0,0,0,0,0
cut,1,0,0,0,0,0,0,0
day,1,0,0,0,0,0,0,0
did,1,0,0,0,0,0,0,0
die,1,0,0,0,0,0,0,0
dog,1,0,0,0,0,0,0,0
due,1,0,0,0,0,0,0,0
eat,1,0,0,0,0,0,0,0
end,1,0,0,0,0,0,0,0
eye,1,0,0,0,0,0,0,0
far,1,0,0,0,0,0,0,0
few,1,0,0,0,0,0,0,0
for,1,0,0,0,0,0,0,0
fun,1,0,0,0,0,0,0,0
gas,1,0,0,0,0,0,0,0
get,1,0,0,0,0,0,0,0
god,1,0,0,0,0,0,0,0
got,1,0,0,0,0,0,0,0
guy,1,0,0,0,0,0,0,0
had,1,0,0,0,0,0,0,0
has,1,0,0,0,0,0,0,0
her,1,0,0,0,0,0,0,0
hey,1,0,0,0,0,0,0,0
him,1,0,0,0,0,0,0,0
his,1,0,0,0,0,0,0,0
hit,1,0,0,0,0,0,0,0
hot,1,0,0,0,0,0,0,0
how,1,0,0,0,0,0,0,0
ice,1,0,0,0,0,0,0,0
its,1,0,0,0,0,0,0,0
job,1,0,0,0,0,0,0,0
key,1,0,0,0,0,0,0,0
lan,2,0,0,0,0,0,0,0
law,1,0,0,0,0,0,0,0
led,1,0,0,0,0,0,0,0
let,1,0,0,0,0,0,0,0
lot,1,0,0,0,0,0,0,0
low,1,0,0,0,0,0,0,0
man,1,0,0,0,0,0,0,0
may,1,0,0,0,0,0,0,0
men,1,0,0,0,0,0,0,0
met,1,0,0,0,0,0,0,0
mom,1,0,0,0,0,0,0,0
new,1,0,0,0,0,0,0,0
non,1,0,0,0,0,0,0,0
not,1,0,0,0,0,0,0,0
now,1,0,0,0,0,0,0,0
off,1,0,0,0,0,0,0,0
oil,1,0,0,0,0,0,0,0
old,1,0,0,0,0,0,0,0
one,1,0,0,0,0,0,0,0
our,1,0,0,0,0,0,0,0
out,1,0,0,0,0,0,0,0
own,1,0,0,0,0,0,0,0
pay,1,0,0,0,0,0,0,0
per,1,0,0,0,0,0,0,0
put,1,0,0,0,0,0,0,0
red,1,0,0,0,0,0,0,0
run,1,0,0,0,0,0,0,0
saw,1,0,0,0,0,0,0,0
say,1,0,0,0,0,0,0,0
sea,1,0,0,0,0,0,0,0
see,1,0,0,0,0,0,0,0
set,1,0,0,0,0,0,0,0
sex,1,0,0,0,0,0,0,0
she,1,0,0,0,0,0,0,0
sir,1,0,0,0,0,0,0,0
six,1,0,0,0,0,0,0,0
son,1,0,0,0,0,0,0,0
tax,1,0,0,0,0,0,0,0
ten,1,0,0,0,0,0,0,0
the,1,0,0,0,0,0,0,0
too,1,0,0,0,0,0,0,0
top,1,0,0,0,0,0,0,0
try,1,0,0,0,0,0,0,0
two,1,0,0,0,0,0,0,0
use,1,0,0,0,0,0,0,0
via,1,0,0,0,0,0,0,0
war,1,0,0,0,0,0,0,0
was,1,0,0,0,0,0,0,0
way,1,0,0,0,0,0,0,0
who,1,0,0,0,0,0,0,0
why,1,0,0,0,0,0,0,0
win,1,0,0,0,0,0,0,0
won,1,0,0,0,0,0,0,0
yes,1,0,0,0,0,0,0,0
yet,1,0,0,0,0,0,0,0
you,1,0,0,0,0,0,0,0
able,1,3,10,0,0,1,8,0
also,1,3,8,0,0,1,7,0
anti,1,3,11,0,0,3,11,0
area,1,3,6,0,0,3,6,0
army,1,3,10,0,0,6,10,0
away,1,3,3,0,0,1,3,0
baby,1,3,4,0,0,1,3,0
back,1,3,2,0,0,0,2,0
ball,1,3,4,0,0,2,3,0
bank,1,3,4,0,0,1,3,0
base,1,3,10,0,0,1,9,0
beat,1,3,11,0,0,5,11,0
been,1,3,4,0,0,2,4,0
best,1,3,3,0,0,2,3,0
bill,1,3,2,0,0,1,2,0
blue,1,3,5,0,0,0,1,0
body,1,3,3,0,0,1,2,0
book,1,3,2,0,0,0,1,0
born,1,3,8,0,0,4,7,0
both,1,3,4,0,0,2,4,0
boys,1,3,4,0,0,1,4,0
call,1,3,3,0,0,2,3,0
came,1,3,5,0,0,3,5,0
card,1,3,5,0,0,2,5,0
